imageName,orig_H,orig_W,upper_X,upper_Y,upper_W,upper_H,shoulder1_x,shoulder1_y,shoulder2_x,shoulder2_y,sleeve1_x,sleeve1_y,sleeve2_x,sleeve2_y,type
2159552703_566644455566-00002.jpg,800,800,89,90,614,668,212,122,590,122,140,290,645,295,0
3199929609_568803476998-00001.jpg,800,800,87,24,624,743,180,111,612,112,133,345,659,351,0
1801764367_565236365114-00001.jpg,800,800,117,67,570,687,208,151,586,146,166,347,630,340,0
2658411369_552458879720-00003.jpg,800,800,89,104,615,667,205,173,594,167,140,353,665,365,0
1743019865_568106955526-00002.jpg,800,800,144,80,499,693,191,171,592,156,190,352,607,360,0
2853135733_535991269869-00004.jpg,800,800,104,21,577,754,184,107,594,107,144,329,648,310,0
1097926670_540807554712-00004.jpg,800,800,139,17,514,751,195,152,600,152,178,721,614,721,1
272253783_558405278969-00004.jpg,2000,2000,271,261,1493,1509,589,461,1323,468,377,1590,1608,1598,1
256089668_563347185864-00004.jpg,800,800,136,56,526,722,199,184,571,185,160,753,620,714,1
114971928_568227704267-00000.jpg,700,700,74,66,549,597,100,165,386,82,122,400,532,212,0
2989293827_544917642753-00000.jpg,800,800,96,139,620,541,220,187,555,205,105,311,685,310,0
2109072012_566985275747-00002.jpg,800,800,78,15,644,754,123,171,539,49,120,389,687,260,0
2201488921_568014313362-00001.jpg,810,810,76,25,676,751,179,108,648,110,115,295,709,287,0
848874541_537510688325-00003.jpg,800,800,117,21,536,777,163,192,579,178,139,778,627,778,1
13982300_557258867734-00002.jpg,800,800,87,25,628,738,194,125,612,130,669,700,136,700,1
187444476_566029944904-00000.jpg,750,750,70,69,614,571,108,152,640,157,96,456,643,453,0
2851293496_566689482985-00005.jpg,1066,712,71,68,548,561,138,140,540,139,100,332,575,316,0
25251894_559001704197-00005.jpg,1084,721,7,128,708,758,134,266,592,281,65,477,646,495,0
2612543800_569117158154-00003.jpg,800,800,74,18,678,756,177,80,638,79,115,302,699,312,0
741495988_566014180088-00002.jpg,700,700,77,38,572,596,197,135,532,129,131,303,593,295,0
2264155862_521089620054-00002.jpg,800,800,129,14,544,756,142,135,606,138,170,776,642,766,1
2261059285_540006444098-00000.jpg,800,800,67,69,705,652,199,176,584,164,126,659,692,662,1
677608399_567562624922-00004.jpg,800,800,122,23,594,723,204,124,618,116,159,586,677,591,1
3107578362_551205482934-00002.jpg,800,800,98,39,609,747,193,150,618,146,73,344,663,344,0
2728596199_565833403288-00001.jpg,800,800,88,26,631,737,189,96,620,102,136,305,659,307,0
810705873_565699548956-00004.jpg,800,800,81,70,632,601,199,154,605,155,141,322,663,324,0
3383227389_568982390420-00000.jpg,800,800,172,143,486,588,260,201,579,205,224,350,605,367,0
1996011481_565970786733-00002.jpg,800,800,103,92,589,649,188,164,610,186,156,351,649,364,0
3042899421_563465665822-00000.jpg,800,800,92,74,617,677,202,147,589,151,144,312,640,316,0
2178346763_565923352937-00000.jpg,800,800,133,121,565,648,195,222,601,222,200,407,602,403,0
320226606_567481616286-00003.jpg,700,700,37,35,625,620,147,117,548,112,94,295,600,283,0
558388016_564101631735-00004.jpg,800,800,170,102,448,537,240,186,555,180,209,632,591,625,1
3378233788_568964071911-00004.jpg,800,800,392,81,394,426,502,79,735,154,426,184,736,293,0
845976026_560265639688-00004.jpg,2500,2500,167,120,2236,2135,714,850,1850,863,207,2174,2337,2150,1
24248503_565905438958-00002.jpg,750,750,129,52,503,645,233,259,515,266,184,702,582,706,1
292595400_549759639496-00002.jpg,800,800,140,167,530,560,238,232,564,239,175,403,622,407,0
